cell_id,area_m2,elev_mean,slope_mean,dist_water_m,building_density,hist_event_score,elev_norm,slope_norm,water_norm,imperv_norm,event_norm,score_0_1,score_0_10,classe,chuva_proxy,classe_ia,risco_previsto
10951,160000.0,,,15033.789877460104,0.0,0.0,0.0,0.0,0.3573208052925513,0.0,0.0,0.0893302013231378,0.89,Baixa,7,Baixa,Baixa
10952,160000.0,,,14754.652445729022,0.0,0.0,0.0,0.0,0.3692536460000433,0.0,0.0,0.0923134115000108,0.92,Baixa,7,Baixa,Baixa
10953,160000.0,,,14481.184326873716,0.0,0.0,0.0,0.0,0.3809441293603031,0.0,0.0,0.0952360323400757,0.95,Baixa,7,Baixa,Baixa
10954,160000.0,,,14213.712752955456,0.0,0.0,0.0,0.0,0.3923782665362287,0.0,0.0,0.0980945666340571,0.98,Baixa,7,Baixa,Baixa
10955,160000.0,,,13952.58259026493,0.0,0.0,0.0,0.0,0.4035413148453837,0.0,0.0,0.1008853287113459,1.01,Baixa,7,Baixa,Baixa
10956,160000.0,,,13698.156505632413,0.0,0.0,0.0,0.0,0.4144177706504066,0.0,0.0,0.1036044426626016,1.04,Baixa,7,Baixa,Baixa
10957,160000.0,,,13450.814933208883,0.0,0.0,0.0,0.0,0.4249913707790843,0.0,0.0,0.106247842694771,1.06,Baixa,7,Baixa,Baixa
10958,160000.0,,,13210.955797445948,0.0,0.0,0.0,0.0,0.4352451043666787,0.0,0.0,0.1088112760916696,1.09,Baixa,7,Baixa,Baixa
10959,160000.0,,,12978.993943935187,0.0,0.0,0.0,0.0,0.4451612371869632,0.0,0.0,0.1112903092967408,1.11,Baixa,7,Baixa,Baixa
10960,160000.0,,,12755.360226639694,0.0,0.0,0.0,0.0,0.4547213506721453,0.0,0.0,0.1136803376680363,1.14,Baixa,7,Baixa,Baixa
10961,160000.0,,,12540.500198396288,0.0,0.0,0.0,0.0,0.4639063978925619,0.0,0.0,0.1159765994731404,1.16,Baixa,7,Baixa,Baixa
10962,160000.0,,,12334.872352019413,0.0,0.0,0.0,0.0,0.4726967787476949,0.0,0.0,0.1181741946869237,1.18,Baixa,7,Baixa,Baixa
10963,160000.0,,,12138.945862604727,0.0,0.0,0.0,0.0,0.4810724364803916,0.0,0.0,0.1202681091200979,1.2,Baixa,7,Baixa,Baixa
10964,160000.0,,,11953.197788453264,0.0,0.0,0.0,0.0,0.4890129773345046,0.0,0.0,0.1222532443336261,1.22,Baixa,7,Baixa,Baixa
10965,160000.0,,,11778.109699120634,0.0,0.0,0.0,0.0,0.4964978147023507,0.0,0.0,0.1241244536755876,1.24,Baixa,7,Baixa,Baixa
10966,160000.0,,,11614.163715014314,0.0,0.0,0.0,0.0,0.5035063384278913,0.0,0.0,0.1258765846069728,1.26,Baixa,7,Baixa,Baixa
10967,160000.0,,,11461.837964034856,0.0,0.0,0.0,0.0,0.5100181090306892,0.0,0.0,0.1275045272576723,1.28,Baixa,7,Baixa,Baixa
10968,160000.0,,,11321.60148691104,0.0,0.0,0.0,0.0,0.5160130754976391,0.0,0.0,0.1290032688744097,1.29,Baixa,7,Baixa,Baixa
10969,160000.0,,,11193.90865350713,0.0,0.0,0.0,0.0,0.5214718139801409,0.0,0.0,0.1303679534950352,1.3,Baixa,7,Baixa,Baixa
10970,160000.0,,,11079.19318622513,0.0,0.0,0.0,0.0,0.5263757832875622,0.0,0.0,0.1315939458218905,1.32,Baixa,7,Baixa,Baixa
10971,160000.0,,,10977.861921719224,0.0,0.0,0.0,0.0,0.5307075915675874,0.0,0.0,0.1326768978918968,1.33,Baixa,7,Baixa,Baixa
10972,160000.0,,,10890.288475837931,0.0,0.0,0.0,0.0,0.5344512671234849,0.0,0.0,0.1336128167808712,1.34,Baixa,7,Baixa,Baixa
10973,160000.0,,,10816.80700584068,0.0,0.0,0.0,0.0,0.5375925250729895,0.0,0.0,0.1343981312682473,1.34,Baixa,7,Baixa,Baixa
