cell_id,area_m2,elev_mean,slope_mean,dist_water_m,building_density,hist_event_score,elev_norm,slope_norm,water_norm,imperv_norm,event_norm,score_0_1,score_0_10,classe
135,26490.14780464971,,,16135.042534074344,0.0,0.0,0.0,0.0,0.31024337662744816,0.0,0.0,0.07756084415686204,0.78,Baixa
136,126378.01860358621,,,16216.57398111561,0.0,0.0,0.0,0.0,0.30675799036391027,0.0,0.0,0.07668949759097757,0.77,Baixa
137,159993.8173808041,,,16230.498976924784,0.0,0.0,0.0,0.0,0.3061627109855306,0.0,0.0,0.07654067774638265,0.77,Baixa
138,159985.0685730693,,,16048.989816015315,0.0,0.0,0.0,0.0,0.31392204261888124,0.0,0.0,0.07848051065472031,0.78,Baixa
139,159976.31976534612,,,15875.48585679536,0.0,0.0,0.0,0.0,0.3213391600389681,0.0,0.0,0.08033479000974203,0.8,Baixa
140,159799.67153354757,,,15710.14551909197,0.0,0.0,0.0,0.0,0.3284072909596475,0.0,0.0,0.08210182273991187,0.82,Baixa
141,109961.34919292526,,,15513.063726726552,0.0,0.0,0.0,0.0,0.33683233671599444,0.0,0.0,0.08420808417899861,0.84,Baixa
142,24031.67777660669,,,15307.19929323367,0.0,0.0,0.0,0.0,0.3456328314292053,0.0,0.0,0.08640820785730133,0.86,Baixa
168,45079.08989702015,,,8068.0340160979085,0.0,0.0,0.0,0.0,0.6550997688139754,0.0,0.0,0.16377494220349384,1.64,Baixa
169,87606.02135772351,,,7956.979051884716,0.0,0.0,0.0,0.0,0.659847255346018,0.0,0.0,0.1649618138365045,1.65,Baixa
170,105410.83439661888,,,7830.555074348506,0.0,0.0,0.0,0.0,0.6652517515334031,0.0,0.0,0.16631293788335078,1.66,Baixa
420,74969.60807427531,,,15825.336874958204,0.0,0.0,0.0,0.0,0.32348297790027947,0.0,0.0,0.08087074447506987,0.81,Baixa
421,155324.79172568736,,,15876.087317585172,0.0,0.0,0.0,0.0,0.32131344820321706,0.0,0.0,0.08032836205080426,0.8,Baixa
422,160000.0,,,15853.043840867103,0.0,0.0,0.0,0.0,0.32229853334682623,0.0,0.0,0.08057463333670656,0.81,Baixa
423,160000.0,,,15834.441516591354,0.0,0.0,0.0,0.0,0.3230937637499829,0.0,0.0,0.08077344093749572,0.81,Baixa
424,160000.0,,,15691.570110068307,0.0,0.0,0.0,0.0,0.32920137076320966,0.0,0.0,0.08230034269080241,0.82,Baixa
425,160000.0,,,15514.079592522035,0.0,0.0,0.0,0.0,0.33678890948861573,0.0,0.0,0.08419722737215393,0.84,Baixa
426,160000.0,,,15344.965255321638,0.0,0.0,0.0,0.0,0.34401837504130295,0.0,0.0,0.08600459376032574,0.86,Baixa
427,160000.0,,,15184.506965026816,0.0,0.0,0.0,0.0,0.3508778034110862,0.0,0.0,0.08771945085277155,0.88,Baixa
428,156863.15990338486,,,15030.83865944442,0.0,0.0,0.0,0.0,0.3574469668548177,0.0,0.0,0.08936174171370442,0.89,Baixa
429,101708.80185577464,,,14831.07028421689,0.0,0.0,0.0,0.0,0.3659868612903341,0.0,0.0,0.09149671532258352,0.91,Baixa
430,67124.16314036818,,,14653.798889077438,0.0,0.0,0.0,0.0,0.3735650327561799,0.0,0.0,0.09339125818904498,0.93,Baixa
431,37967.41224096622,,,14473.227594645763,0.0,0.0,0.0,0.0,0.38128427155348554,0.0,0.0,0.09532106788837139,0.95,Baixa
448,76594.8396551772,,,9080.851117460503,0.0,0.0,0.0,0.0,0.6118028700016838,0.0,0.0,0.15295071750042094,1.53,Baixa
